,exp_risk,exp_return,esg_score
AMZN,0.42541670866291986,0.16539905956062945,0.3028
AMT,0.29121011868950025,0.21242892662265309,0.1094
AVGO,0.345417808325618,-0.2546563181867496,0.2241
CVS,0.2571198231590138,0.11801682132313744,0.2286
CVX,0.28236147382756205,-0.18986590034925968,0.3761
HCA,0.34186854459988875,0.05280752172472227,0.2824
HBAN,0.35141357999246914,0.20127201779948334,0.20379999999999998
HAS,0.3386942790342165,0.30525695166574124,0.0711
HAL,0.4535924742544024,-0.23354388269974333,0.23800000000000002
GWW,0.27136452660648236,-0.2155292075934484,0.146
GS,0.26838549575674514,0.14359453530032829,0.2616
GRMN,0.26159210924973936,0.1421411174710961,0.18539999999999998
GPN,0.3710384935192902,0.1601502120010786,0.19030000000000002
GPC,0.2525461901403645,-0.013991555170579154,0.12619999999999998
GOOGL,0.348659585995046,0.08080190638140053,0.2414
GM,0.39502367051289056,0.3293862214864786,0.3089
GLW,0.27791210693379975,0.12125098305895148,0.1942
GL,0.2286353740591291,-0.116841997128873,0.2025
GIS,0.2065050522508689,-0.056933820826243986,0.2151
GILD,0.2219413488063086,-0.13255122326346114,0.2208
GEN,0.32647205430629844,0.18912631307509434,0.14980000000000002
GE,0.3089692287406961,-0.14094992787552005,0.4071
GD,0.21420617508313175,-0.11146306681100085,0.3488
FTV,0.26735994407498664,0.07791108832331949,0.34759999999999996
FTNT,0.5053558657478997,0.07641097510601343,0.1913
FRT,0.26587934026498944,0.12365523076171202,0.1242
FOXA,0.2826133117061883,0.14769716326446805,0.5036999999999999
FMC,0.3127072607079537,0.22523554425058867,0.3274
HD,0.2707895661004999,0.11443216503787824,0.12539999999999998
HES,0.40306294983168933,-0.31255578219756086,0.3605
HIG,0.24347430823577856,-0.014375586416810082,0.1617
HII,0.24501967891911092,-0.06164022765453991,0.45740000000000003
ISRG,0.377582593238231,0.15827368260713395,0.23739999999999997
IRM,0.29981333591314285,-0.17388744644058673,0.1474
IR,0.3049914055158253,-0.0491317847707464,0.20679999999999998
IQV,0.3163965390782366,0.17129311771488642,0.19140000000000001
IPG,0.3186984411604572,0.10600522694291771,0.1043
IP,0.2794663266650439,0.1559588995586461,0.2371
INTU,0.41351203361437977,0.11388961999078483,0.162
INTC,0.3714921588264444,0.1795233474383151,0.1726
